availability,imageUris_0_altText,imageUris_0_type,imageUris_0_uri,locations_0_description,locations_0_facing,locations_0_order,id,name,brand,restrictions,description,size,isWeightRangeApplied,pricing_now,pricing_was,pricing_savePercent,pricing_unit_quantity,pricing_unit_ofMeasureQuantity,pricing_unit_ofMeasureUnits,pricing_unit_price,pricing_unit_ofMeasureType,pricing_comparable,pricing_promotionUri,pricing_onlineSpecial,locations_0_aisleSide,locations_0_aisle,locations_0_indoorCoordinates_productX,locations_0_indoorCoordinates_productY
not_available,,default,/8/8967050.jpg,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,9999.0,8967050,Quality Oro Coffee Beans,Lavazza,,LAVAZZA QUALITA ORO COFFEE BEANS 1KG,1Kg,False,,,,,,,,,,,,,,,
not_available,,default,/8/8093399.jpg,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,9999.0,8093399,Tales Of Italy Capri Coffee Beans,Lavazza,,LAVAZZA TALES OF ITALY CAPRI COFFEE BEANS 500G,500g,False,,,,,,,,,,,,,,,
available,,default,/8/8411676.jpg,Located in Aisle 4 at $STORE,2,4.0,8411676,Qualita Oro Ground Coffee,Lavazza,,LAVAZZA QUALITA ORO GROUND COFFEE 500G,500g,False,32.0,0.0,0,500,100,g,6.4,ea,$6.40/ 100g,,False,Back of Store,Aisle 4,3079.79,1670.13
available,,default,/8/8411698.jpg,Located in Aisle 4 at $STORE,1,4.0,8411698,Qualita Oro Ground Coffee,Lavazza,,LAVAZZA QUALITA ORO GROUND COFFEE 1KG,1Kg,False,50.0,0.0,0,1000,100,g,5.0,ea,$5.00/ 100g,,False,Back of Store,Aisle 4,3079.79,1670.13
not_available,,default,/8/8087760.jpg,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,9999.0,8087760,Barista Organic Ground Coffee,Lavazza,,LAVAZZA BARISTA ORGANIC GROUND COFFEE 250G,250g,False,,,,,,,,,,,,,,,
available,,default,/1/1774194.jpg,Located in Aisle 4 at $STORE,1,4.0,1774194,A Modo Mio Delizioso Coffee Capsules,Lavazza,,LAVAZZA A MODO MIO DELIZIOSO COFFEE CAPSULES 16PK,16 Pack,False,15.0,0.0,0,16,1,ea,0.94,ea,$0.94/ 1ea,,False,Back of Store,Aisle 4,3079.79,1670.13
not_available,,default,/1/1774208.jpg,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,9999.0,1774208,A Modo Mio Passionale Coffee Capsules,Lavazza,,LAVAZZA A MODO MIO PASSIONALE COFFEE CAPSULES 16PK,16 Pack,False,,,,,,,,,,,,,,,
not_available,,default,/2/2268810.jpg,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,9999.0,2268810,A Modo Mio Intenso Coffee Capsules,Lavazza,,LAVAZZA A MODO MIO INTENSO COFFEE CAPSULES 16PK,16 Pack,False,,,,,,,,,,,,,,,
not_available,,default,/3/3208631.jpg,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,9999.0,3208631,Decaf Ground Coffee,Lavazza,,LAVAZZA DECAF GROUND COFFEE 250G,250g,False,17.5,0.0,0,250,100,g,7.0,ea,$7.00/ 100g,,False,,,,
available,,default,/3/3208722.jpg,Located in Aisle 4 at $STORE,1,4.0,3208722,A Modo Mio Decaf Coffee Capsules,Lavazza,,LAVAZZA A MODO MIO DECAF COFFEE CAPSULES 16PK,16 Pack,False,15.0,0.0,0,16,1,ea,0.94,ea,$0.94/ 1ea,,False,Back of Store,Aisle 4,3079.79,1670.13
not_available,,default,/3/3756557.jpg,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,9999.0,3756557,Espresso Barista Intenso Coffee Beans,Lavazza,,LAVAZZA ESPRESSO BARISTA INTENSO COFFEE BEANS 1KG,1Kg,False,,,,,,,,,,,,,,,
not_available,,default,/3/3790635.jpg,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,9999.0,3790635,Qualit Oro Ground Coffee,Lavazza,,LAVAZZA QUALITA ORO GROUND COFFEE 250G,250g,False,,,,,,,,,,,,,,,
not_available,,default,/6/6205980.jpg,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,9999.0,6205980,Espresso Barista Gran Crema Coffee Beans,Lavazza,,LAVAZZA ESPRESSO BARISTA GRAN CREMA COFFEE BEANS 500G,500g,False,,,,,,,,,,,,,,,
not_available,,default,/6/6851099.jpg,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,9999.0,6851099,Qualita Oro Medium Roast Smooth Coffee Beans,Lavazza,,LAVAZZA QULITY ORO COFFEE BEANS 500G,500g,False,,,,,,,,,,,,,,,
not_available,,default,/8/8087691.jpg,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,9999.0,8087691,Barista Intenso Ground Coffee,Lavazza,,LAVAZZA BARISTA INTENSO GROUND COFFEE 250G,250g,False,,,,,,,,,,,,,,,
not_available,,default,/3/3514490.jpg,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,9999.0,3514490,Qualita Rossa A Modo Mio Coffee Pods,Lavazza,,LAVAZZA QUALIT ROSSA A MODO MIO COFFEE PODS 16PK,16 pack,False,,,,,,,,,,,,,,,
not_available,,default,/8/8087670.jpg,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,9999.0,8087670,Qualita Oro A Modo Mio Coffee Pods,Lavazza,,LAVAZZA QUALITA ORO A MODO MIO COFFEE PODS 16 PACK,16 pack,False,15.0,0.0,0,16,1,ea,0.94,ea,$0.94/ 1ea,,False,,,,
not_available,,default,/8/8087680.jpg,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,9999.0,8087680,Tales Of Italy Enchanting Capri Ground Coffee,Lavazza,,LAVAZZA TALES OF ITALY ENCHANTING CAPRI GROUND COFFEE 250G,250g,False,,,,,,,,,,,,,,,
