shared_parent,alias_label,shared_subcategory,target_parent,priority,notes
Bakery,Cakes & Desserts,Packaged Bread & Bakery,,102,No WW cakes L1 at Ashfield — roll into packaged bakery
Bakery,Wraps & Flatbreads,Sandwich Ingredients,,103,
Bakery,Sandwich Ingredients,Sandwich Ingredients,,104,
Bakery,In-Store Bakery,In-Store Bakery,,105,
Lunch Box,Snacks,Snacks,Pantry,110,WW Lunch Box snacks → Pantry Snacks (no Coles Lunch Box L0)
Home & Lifestyle,Sports & Fitness,"Sport, Fitness & Outdoor Activities",,120,Alias WW Everyday Market sports label
Home & Lifestyle,"Sport, Fitness & Outdoor Activities","Sport, Fitness & Outdoor Activities",,121,
Everyday Market,Sports & Fitness,"Sport, Fitness & Outdoor Activities",Home & Lifestyle,122,
Cleaning & Maintenance,Batteries & Power,Batteries & Power,,130,
Home & Lifestyle,Batteries & Power,Batteries & Power,Cleaning & Maintenance,131,Coles battery keywords under Home → Cleaning with WW
Everyday Market,Pantry,Confectionery,Pantry,140,WW Everyday Market pantry/showbags → Pantry confectionery
Drinks,Pantry,Confectionery,Pantry,141,Misfiled WW drinks-pantry SKUs
Everyday Market,Appliances,Appliances,Home & Lifestyle,142,
Everyday Market,Phones & Accessories,Phones & Accessories,Electronics,143,
Everyday Market,Manchester & Bedding,Manchester & Bedding,Home & Lifestyle,144,
Everyday Market,Outdoor Living,Outdoor Living,Home & Lifestyle,145,
Everyday Market,Cleaning & Maintenance,Cleaning Goods,Cleaning & Maintenance,146,
Everyday Market,Electronics,Electronics,Electronics,147,
Everyday Market,Bathroom Towels & Accessories,Bathroom Towels & Accessories,Home & Lifestyle,148,
Cleaning & Maintenance,Appliances,Appliances,Home & Lifestyle,149,
Cleaning & Maintenance,Manchester & Bedding,Manchester & Bedding,Home & Lifestyle,150,
Cleaning & Maintenance,Outdoor Living,Outdoor Living,Home & Lifestyle,151,
Cleaning & Maintenance,Hardware,Hardware,Home & Lifestyle,152,WW hardware under Cleaning → Home with Coles keyword Hardware
Home & Lifestyle,Hardware,Hardware,,153,
Home & Lifestyle,Phones & Accessories,Phones & Accessories,Electronics,154,
Electronics,Phones & Accessories,Phones & Accessories,,155,
Electronics,Headphones,Phones & Accessories,,156,
Dairy Eggs & Fridge,Dips & Pate,Deli Specialties,,160,WW dips L1 → Coles Deli Specialties
Pantry,Dips & Pate,Deli Specialties,Dairy Eggs & Fridge,161,
Cleaning & Maintenance,Cleaning & Maintenance,Cleaning Goods,,162,WW meta L1 → Cleaning Goods
Drinks,Drinks,Soft Drinks,,163,WW meta drinks L1
Cleaning & Maintenance,Sports & Fitness,"Sport, Fitness & Outdoor Activities",Home & Lifestyle,164,
Personal Care,Sports & Fitness,"Sport, Fitness & Outdoor Activities",Home & Lifestyle,165,
Cleaning & Maintenance,Electronics,Electronics,Electronics,166,
Electronics,Electronics,Electronics,,167,
Pantry,Greek,"European, UK & Irish",,168,Narrow WW Greek → broader European aisle when present

